id,nombre,id_departamento,es_publico,terapia_intensiva
50380842150137,PUESTO EL TORO (17),38_84,False,False
50380632150075,PUESTO BARRO NEGRO (9) (EX LOTE ROSARIO DE RIO GRANDE),38_63,False,False
50260212329179,KIN SPORT,26_21,False,False
51260352329290,LABORATORIO ANALISIS CLINICOS GEROSA,26_35,False,False
51260352329289,LABORATORIO ANALISIS CLINICOS,26_35,False,False
51260352329293,LABORATORIO DRA. SALVAGNO,26_35,False,False
51260212329299,LABORATORIO DE HISTOPATOLOGIA Y CITOLOGIA,26_21,False,False
51260212329297,LABORATORIO DE ANALISIS CLINICOS (STROBL),26_21,False,False
51260212329298,INSAT  - LABORATORIO DE ANATOMIA PATOLOGICA,26_21,False,False
52260212329318,LITIASIS CENTRO CHUBUT,26_21,False,False
50260212329186,ODONTOLOGIA DEL PLATA,26_21,False,False
50260212329187,ODONTOLOGIA INTEGRAL,26_21,False,False
50541122265191,C.A.P.S. PUERTO ARGENTINO 1,54_112,True,False
50260212329190,OSECAC (COMODORO RIVADAVIA),26_21,False,False
50260212329192,PATAGONIA SALUD -P.S.M.T.-  (MEDICINA DEL TRABAJO),26_21,False,False
50261052129207,PUESTO SANITARIO CHACAY OESTE,26_105,False,False
50260142129210,PUESTO SANITARIO CURRUMAHUIDA,26_14,False,False
50260142129229,PUESTO SANITARIO LAS GOLONDRINAS,26_14,False,False
50260142129220,PUESTO SANITARIO FOFO CAHUEL,26_14,False,False
50260142129223,PUESTO SANITARIO LA CATARATA,26_14,False,False
50020012315826,CENTRO MEDICO MADEROMED,2_1,False,False
50020012315856,CENTRO ODONTOLOGICO URQUIZA,2_3,False,False
50861822192547,PUESTO SANITARIO COLONIA SIEGEL (HOSP SUNCHO CORRAL),86_182,False,False
51421052353340,LABORATORIO DE ANALISIS CLINICOS SILVANA ACTIS GIORGETTO,42_105,False,False
53060702303264,CEM CENTRO DE EMERGENCIAS MEDICAS BASE BARADERO,6_70,False,False
53900842396826,SOREMER S.A.,90_84,False,False
50900212396556,SERVICIO PRIVADO DE HEMOTERAPIA (HEMOSS),90_21,False,False
50221402126128,CENTRO DE SALUD BARRIO CIUDAD DE LOS MILAGROS BARRANQUERAS,22_140,False,False
50221402126478,CENTRO DE SALUD VILLA GHIO DR. ALVAREZ LOTERO,22_140,False,False
50221402126172,CENTRO DE SALUD CACIQUE PELAYO,22_140,False,False
50221402126140,CENTRO DE SALUD BARRIO ESPAÑA,22_140,False,False
50221402126141,CENTRO DE SALUD DOCTORA GRIERSON,22_140,False,False
50220362126139,CENTRO DE SALUD BARRIO EL CEIBO,22_36,False,False
52580352367218,CENTRO AXIS MEDICINA Y REHABILITACION,58_35,False,False
50660282373502,SERVICIO MEDICO SALTA SRL,66_28,False,False
50660282373505,SINDICATO DE EMPLEADOS DE COMERCIO,66_28,False,False
52660282373535,SOCIEDAD DE LA ESTRELLA,66_28,False,False
50220362126134,CENTRO DE SALUD BARRIO  PINEDO VIEJO,22_36,False,False
50220362126133,CENTRO DE SALUD BARRIO  ATALAYA,22_36,False,False
10660352173046,HOSPITAL DR. NICOLAS LOZANO,66_35,False,False
50221262126367,CENTRO DE SALUD MARGARITA BELEN,22_126,False,False
50220142126273,CENTRO DE SALUD ISLA DEL CERRITO,22_14,False,False
50220392126275,CENTRO DE SALUD ITIN,22_39,False,False
53821192385955,EMERGENCIAS SAT - SERVICIO DE ATENCION MEDICA Y TRASLADOS,82_119,False,False
